Nome_arquivo	Temperatura_inicial	SAMAX	Qtd_Reaquecimentos	Metodo_Vizinho	Função_Objetivo	Iteração
1	100	10	7	1	68	1
1	100	10	7	1	68	2
1	100	10	7	1	66	3
1	100	10	7	1	68	4
1	100	10	7	1	65	5
1	100	10	7	1	66	6
1	100	10	7	1	64	7
1	100	10	7	1	68	8
1	100	10	7	1	67	9
1	100	10	7	1	62	10
1	100	10	7	1	68	11
1	100	10	7	1	67	12
1	100	10	7	1	64	13
1	100	10	7	1	66	14
1	100	10	7	1	66	15
1	100	10	7	1	68	16
1	100	10	7	1	66	17
1	100	10	7	1	67	18
1	100	10	7	1	64	19
1	100	10	7	1	69	20
1	100	10	7	1	69	21
1	100	10	7	1	66	22
1	100	10	7	1	67	23
1	100	10	7	1	66	24
1	100	10	7	1	66	25
1	100	10	7	1	68	26
1	100	10	7	1	65	27
1	100	10	7	1	65	28
1	100	10	7	1	68	29
1	100	10	7	1	67	30
1	100	10	7	1	66	31
1	100	10	7	1	66	32
1	100	10	7	1	66	33
1	100	10	7	1	66	34
1	100	10	7	1	65	35
1	100	10	7	1	64	36
1	100	10	7	1	67	37
1	100	10	7	1	66	38
1	100	10	7	1	66	39
1	100	10	7	1	66	40
1	100	10	7	1	68	41
1	100	10	7	1	65	42
1	100	10	7	1	68	43
1	100	10	7	1	67	44
1	100	10	7	1	67	45
1	100	10	7	1	67	46
1	100	10	7	1	66	47
1	100	10	7	1	67	48
1	100	10	7	1	67	49
1	100	10	7	1	67	50
1	100	10	7	1	65	51
1	100	10	7	1	65	52
1	100	10	7	1	67	53
1	100	10	7	1	67	54
1	100	10	7	1	67	55
1	100	10	7	1	67	56
1	100	10	7	1	67	57
1	100	10	7	1	67	58
1	100	10	7	1	67	59
1	100	10	7	1	68	60
1	100	10	7	1	67	61
1	100	10	7	1	65	62
1	100	10	7	1	68	63
1	100	10	7	1	68	64
1	100	10	7	1	66	65
1	100	10	7	1	68	66
1	100	10	7	1	68	67
1	100	10	7	1	66	68
1	100	10	7	1	68	69
1	100	10	7	1	67	70
1	100	10	7	1	67	71
1	100	10	7	1	66	72
1	100	10	7	1	68	73
1	100	10	7	1	68	74
1	100	10	7	1	69	75
1	100	10	7	1	69	76
1	100	10	7	1	66	77
1	100	10	7	1	68	78
1	100	10	7	1	67	79
1	100	10	7	1	68	80
1	100	10	7	1	66	81
1	100	10	7	1	66	82
1	100	10	7	1	67	83
1	100	10	7	1	67	84
1	100	10	7	1	68	85
1	100	10	7	1	66	86
1	100	10	7	1	66	87
1	100	10	7	1	66	88
1	100	10	7	1	65	89
1	100	10	7	1	68	90
1	100	10	7	1	67	91
